Time	Device name	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(°/s)	Angular velocity Y(°/s)	Angular velocity Z(°/s)	Angle X(°)	Angle Y(°)	Angle Z(°)	Magnetic field X(ʯt)	Magnetic field Y(ʯt)	Magnetic field Z(ʯt)	Temperature(℃)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	Angle of course(°)	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
 15:32:07.831	COM12		-0,095	0,013	1,005	0,000	0,000	0,000	0,577	5,350	-59,557	81,367	73,346	64,935	20,04	96600	402,67														
 15:32:07.929	COM12		-0,095	0,013	1,004	0,000	0,000	0,000	0,577	5,345	-59,540	81,367	73,333	64,948	20,06	96600	402,67														
 15:32:08.027	COM12		-0,094	0,013	1,004	0,000	0,000	0,000	0,577	5,339	-59,529	81,380	73,346	64,948	20,03	96600	402,67														
 15:32:08.127	COM12		-0,095	0,013	1,004	0,000	0,000	0,000	0,577	5,339	-59,518	81,367	73,359	64,948	20,06	96600	402,67														
 15:32:08.227	COM12		-0,091	0,013	1,005	0,000	0,000	0,000	0,577	5,334	-59,507	81,367	73,359	64,948	20,03	96600	402,67														
 15:32:08.327	COM12		-0,100	0,012	1,009	-0,122	1,709	0,000	0,571	5,383	-59,496	81,393	73,359	64,961	20,07	96600	402,67														
 15:32:08.427	COM12		-0,091	0,012	1,005	-0,061	2,319	0,000	0,560	5,592	-59,485	81,510	73,359	65,039	20,06	96600	402,67														
 15:32:08.527	COM12		-0,150	0,012	1,017	-0,305	9,949	0,000	0,549	6,026	-59,474	81,718	73,372	65,195	20,04	96601	402,58														
 15:32:08.627	COM12		-0,146	0,012	0,990	-0,427	15,442	-0,183	0,505	7,427	-59,436	82,394	73,411	65,754	20,04	96601	402,58														
 15:32:08.727	COM12		-0,184	0,010	1,004	-0,427	17,029	-0,305	0,472	8,685	-59,436	83,148	73,489	66,365	20,04	96602	402,5														
 15:32:08.827	COM12		-0,254	0,010	1,001	-0,854	30,579	-0,488	0,417	10,849	-59,436	84,253	73,554	67,314	20,03	96602	402,5														
 15:32:08.927	COM12		-0,320	0,007	0,976	-1,038	37,231	-0,610	0,319	14,095	-59,453	85,865	73,671	68,887	20,04	96602	402,5														
 15:32:09.027	COM12		-0,374	0,005	0,952	-0,916	35,034	-0,549	0,214	17,589	-59,480	87,633	73,801	70,798	20,07	96603	402,41														
 15:32:09.127	COM12		-0,412	0,003	0,934	-0,854	33,020	-0,549	0,115	20,814	-59,507	89,193	73,918	72,748	20,01	96602	402,5														
 15:32:09.228	COM12		-0,503	0,003	0,927	-1,160	41,992	-0,732	0,011	24,115	-59,551	90,649	74,035	74,776	20,07	96601	402,58														
