Time	Device name	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(°/s)	Angular velocity Y(°/s)	Angular velocity Z(°/s)	Angle X(°)	Angle Y(°)	Angle Z(°)	Magnetic field X(ʯt)	Magnetic field Y(ʯt)	Magnetic field Z(ʯt)	Temperature(℃)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	Angle of course(°)	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
 09:06:24.401	COM12	2024-09-20 13:51:29.204	-0,013	-0,002	0,999	-0,061	0,000	0,000	-0,478	0,527	163,614	97,383	44,252	47,645	19,51	96531	408,55														
 09:06:24.491	COM12	2024-09-20 13:51:29.304	-0,014	-0,006	0,999	0,000	0,000	0,000	-0,483	0,533	163,614	97,435	44,551	47,788	19,47	96530	408,64														
 09:06:24.600	COM12	2024-09-20 13:51:29.404	-0,014	-0,005	1,000	0,000	0,000	0,000	-0,483	0,533	163,614	97,487	44,707	47,866	19,51	96530	408,64														
 09:06:24.694	COM12	2024-09-20 13:51:29.504	-0,014	-0,006	0,999	0,000	0,000	0,000	-0,489	0,533	163,614	97,487	44,733	47,879	19,52	96530	408,64														
 09:06:24.801	COM12	2024-09-20 13:51:29.604	-0,013	-0,005	0,999	0,000	-0,061	0,000	-0,489	0,538	163,614	97,487	44,733	47,892	19,47	96530	408,64														
 09:06:24.894	COM12	2024-09-20 13:51:29.704	-0,013	-0,007	0,999	0,000	0,000	0,000	-0,494	0,538	163,614	97,487	44,733	47,905	19,49	96530	408,64														
 09:06:25.003	COM12	2024-09-20 13:51:29.804	-0,013	-0,006	1,000	0,000	0,000	0,000	-0,494	0,533	163,614	97,500	44,746	47,905	19,47	96530	408,64														
 09:06:25.096	COM12	2024-09-20 13:51:29.904	-0,014	-0,006	0,999	0,000	-0,061	0,000	-0,494	0,533	163,614	97,513	44,733	47,931	19,49	96530	408,64														
 09:06:25.190	COM12	2024-09-20 13:51:30.004	-0,010	-0,004	0,999	-0,061	0,000	0,000	-0,500	0,538	163,614	97,513	44,733	47,957	19,47	96530	408,64														
 09:06:25.299	COM12	2024-09-20 13:51:30.104	-0,013	-0,010	1,000	-0,122	0,061	0,732	-0,494	0,549	163,663	97,721	45,084	48,386	19,44	96530	408,64														
 09:06:25.392	COM12	2024-09-20 13:51:30.204	-0,015	-0,008	0,999	0,000	-0,061	0,000	-0,500	0,549	163,685	97,916	45,487	48,776	19,51	96530	408,64														
