Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Delta_t,Sum Acceleration (g),Corrected_Acc_X(m/s²),Corrected_Acc_Y(m/s²),Corrected_Acc_Z(m/s²)
1900-01-01 15:32:07.831,COM12,,"-0,095","0,013","1,005","0,0","0,0","0,0","0,577","5,35","-59,557","81,367","73,346","64,935","20,04",96600,"402,67",,,,,,,,,,,,,,,"0,9229999999999999","-1,3102065386476114","0,96612109129933","0,09228047407364315"
1900-01-01 15:32:07.929,COM12,,"-0,095","0,013","1,004","0,0","0,0","0,0","0,577","5,345","-59,54","81,367","73,333","64,948","20,06",96600,"402,67",,,,,,,,,,,,,,"0,098","0,922","-1,31002326726491","0,9652741422140798","0,08239069447850866"
1900-01-01 15:32:08.027,COM12,,"-0,094","0,013","1,004","0,0","0,0","0,0","0,577","5,339","-59,529","81,380","73,346","64,948","20,03",96600,"402,67",,,,,,,,,,,,,,"0,098","0,923","-1,2998554380611624","0,9643200161200964","0,08229505714442986"
1900-01-01 15:32:08.127,COM12,,"-0,095","0,013","1,004","0,0","0,0","0,0","0,577","5,339","-59,518","81,367","73,359","64,948","20,06",96600,"402,67",,,,,,,,,,,,,,"0,1","0,922","-1,3098260832493442","0,964247484540715","0,08229505714442986"
1900-01-01 15:32:08.227,COM12,,"-0,091","0,013","1,005","0,0","0,0","0,0","0,577","5,334","-59,507","81,367","73,359","64,948","20,03",96600,"402,67",,,,,,,,,,,,,,"0,1","0,9269999999999999","-1,2703142139562167","0,963440476712345","0,09202544118347866"
1900-01-01 15:32:08.327,COM12,,"-0,1","0,012","1,009","-0,122","1,709","0,0","0,571","5,383","-59,496","81,393","73,359","64,961","20,07",96600,"402,67",,,,,,,,,,,,,,"0,1","0,9209999999999999","-1,3638899865324825","0,9602338604267073","0,13203863864327658"
1900-01-01 15:32:08.427,COM12,,"-0,091","0,012","1,005","-0,061","2,319","0,0","0,56","5,592","-59,485","81,510","73,359","65,039","20,06",96600,"402,67",,,,,,,,,,,,,,"0,1","0,9259999999999999","-1,2954709025780051","0,9898908543951835","0,0962019700397807"
1900-01-01 15:32:08.527,COM12,,"-0,15","0,012","1,017","-0,305","9,949","0,0","0,549","6,026","-59,474","81,718","73,372","65,195","20,04",96601,"402,58",,,,,,,,,,,,,,"0,1","0,8789999999999999","-1,9135991366813965","1,0525355869593018","0,2214243796888713"
1900-01-01 15:32:08.627,COM12,,"-0,146","0,012","0,99","-0,427","15,442","-0,183","0,505","7,427","-59,436","82,394","73,411","65,754","20,04",96601,"402,58",,,,,,,,,,,,,,"0,1","0,856","-2,002598383500801","1,2535299084039677","-0,015419773723749586"
1900-01-01 15:32:08.727,COM12,,"-0,184","0,01","1,004","-0,427","17,029","-0,305","0,472","8,685","-59,436","83,148","73,489","66,365","20,04",96602,"402,5",,,,,,,,,,,,,,"0,1","0,8300000000000001","-2,488686088851186","1,4146668142591392","0,15205588043260754"
1900-01-01 15:32:08.827,COM12,,"-0,254","0,01","1,001","-0,854","30,579","-0,488","0,417","10,849","-59,436","84,253","73,554","67,314","20,03",96602,"402,5",,,,,,,,,,,,,,"0,1","0,7569999999999999","-3,3691593740794477","1,7242714560015369","0,18540282375527184"
1900-01-01 15:32:08.927,COM12,,"-0,32","0,007","0,976","-1,038","37,231","-0,61","0,319","14,095","-59,453","85,865","73,671","68,887","20,04",96602,"402,5",,,,,,,,,,,,,,"0,1","0,663","-4,3063576173155385","2,1538625079548543","0,06005447942189335"
1900-01-01 15:32:09.027,COM12,,"-0,374","0,005","0,952","-0,916","35,034","-0,549","0,214","17,589","-59,48","87,633","73,801","70,798","20,07",96603,"402,41",,,,,,,,,,,,,,"0,1","0,583","-5,1428309457792","2,621373668469039","-0,012184530630158008"
1900-01-01 15:32:09.127,COM12,,"-0,412","0,003","0,934","-0,854","33,02","-0,549","0,115","20,814","-59,507","89,193","73,918","72,748","20,01",96602,"402,5",,,,,,,,,,,,,,"0,1","0,5250000000000001","-5,793580378833131","3,0431327907201395","-0,00722993726016341"
1900-01-01 15:32:09.228,COM12,,"-0,503","0,003","0,927","-1,16","41,992","-0,732","0,011","24,115","-59,551","90,649","74,035","74,776","20,07",96601,"402,58",,,,,,,,,,,,,,"0,101","0,42700000000000005","-6,9639788255349515","3,4856603336327505","0,14001588874452686"
1900-01-01 15:32:09.328,COM12,,"-0,598","0,0","0,867","-1,099","52,979","-1,526","-0,148","28,768","-59,65","92,313","74,139","77,571","20,03",96600,"402,67",,,,,,,,,,,,,,"0,1","0,269","-8,27377228707275","4,0613667768555946","-0,09390800025073354"
1900-01-01 15:32:09.427,COM12,,"-0,637","-0,005","0,802","-0,854","44,739","-1,282","-0,335","33,723","-59,826","93,938","74,269","80,834","20,06",96600,"402,67",,,,,,,,,,,,,,"0,099","0,16000000000000003","-9,035969814111095","4,630382382412755","-0,2915248457893931"
1900-01-01 15:32:09.528,COM12,,"-0,635","-0,005","0,778","-0,549","21,79","-0,305","-0,472","36,969","-59,936","94,991","74,334","83,408","20,06",96600,"402,67",,,,,,,,,,,,,,"0,101","0,138","-9,254678957187597","5,016167427514845","-0,20536152223783066"
1900-01-01 15:32:09.628,COM12,,"-0,716","-0,006","0,78","-0,732","31,738","-0,61","-0,566","39,216","-60,002","95,576","74,360","85,124","20,06",96599,"402,76",,,,,,,,,,,,,,"0,1","0,05800000000000005","-10,20871200353806","5,263910998080896","0,0516971337258072"
1900-01-01 15:32:09.727,COM12,,"-0,796","-0,009","0,701","-1,16","53,467","-1,221","-0,786","43,489","-60,178","96,278","74,399","87,737","20,06",96599,"402,76",,,,,,,,,,,,,,"0,099","-0,10400000000000009","-11,282710860197163","5,7015712216031185","-0,2397391957487267"
1900-01-01 15:32:09.828,COM12,,"-0,789","-0,013","0,619","-0,61","34,79","-0,793","-1,049","48,071","-60,414","96,902","74,399","90,935","20,03",96599,"402,76",,,,,,,,,,,,,,"0,101","-0,18300000000000005","-11,499090317626539","6,129518801309486","-0,4816436366328718"
1900-01-01 15:32:09.928,COM12,,"-0,811","-0,012","0,621","-0,122","21,667","-0,61","-1,203","50,46","-60,557","97,162","74,386","92,989","20,06",96599,"402,76",,,,,,,,,,,,,,"0,1","-0,20200000000000007","-11,853217740539307","6,367773870347415","-0,15182388898347643"
1900-01-01 15:32:10.028,COM12,,"-0,924","-0,014","0,579","-0,244","47,119","-1,343","-1,434","53,624","-60,82","97,305","74,347","94,965","20,06",96599,"402,76",,,,,,,,,,,,,,"0,1","-0,3590000000000001","-13,128503660663203","6,636878366912675","-0,13631914579510607"
1900-01-01 15:32:10.128,COM12,,"-0,924","-0,019","0,451","-0,488","31,189","-0,549","-1,829","58,2","-61,271","97,318","74,256","97,877","20,01",96599,"402,76",,,,,,,,,,,,,,"0,1","-0,49200000000000005","-13,344497796640322","6,970519605587101","-0,7424927013689508"
1900-01-01 15:32:10.228,COM12,,"-0,767","-0,025","0,425","1,953","-39,551","2,808","-1,813","58,189","-61,243","97,292","74,217","98,735","20,07",96599,"402,76",,,,,,,,,,,,,,"0,1","-0,36700000000000005","-11,80498270994988","6,9100795047572445","-0,9991983525739156"
1900-01-01 15:32:10.327,COM12,,"-0,875","-0,012","0,617","-0,305","13,184","-0,183","-1,566","55,662","-60,991","97,370","74,256","97,227","20,06",96599,"402,76",,,,,,,,,,,,,,"0,099","-0,27","-12,744984430833973","6,83373774673872","0,5212726252425917"
1900-01-01 15:32:10.427,COM12,,"-0,96","-0,018","0,464","-0,671","73,486","-2,014","-2,049","60,287","-61,452","97,266","74,204","99,021","20,04",96601,"402,58",,,,,,,,,,,,,,"0,1","-0,514","-13,79484621319961","7,135278369209286","-0,3074338940765422"
1900-01-01 15:32:10.526,COM12,,"-0,986","-0,022","0,32","-0,122","58,105","-1,587","-3,027","66,912","-62,474","96,759","73,983","103,012","20,06",96600,"402,67",,,,,,,,,,,,,,"0,099","-0,688","-14,296801714729535","7,536325195427554","-0,7023697665287445"
1900-01-01 15:32:10.626,COM12,,"-0,96","-0,024","0,258","1,221","28,809","-1,099","-4,005","71,23","-63,578","96,070","73,723","106,093","20,06",96599,"402,76",,,,,,,,,,,,,,"0,1","-0,726","-14,15419185621722","7,757401113886224","-0,617875111907622"
1900-01-01 15:32:10.726,COM12,,"-0,962","-0,024","0,257","0,854","10,681","-0,427","-4,51","73,021","-64,177","95,641","73,580","107,614","20,07",96600,"402,67",,,,,,,,,,,,,,"0,1","-0,729","-14,205830987424845","7,847908755738184","-0,3346875146034525"
1900-01-01 15:32:10.826,COM12,,"-0,997","-0,025","0,217","2,808","44,861","-1,526","-5,636","75,745","-65,506","95,238","73,450","108,966","20,04",96600,"402,67",,,,,,,,,,,,,,"0,1","-0,805","-14,580207286516284","7,965765063111732","-0,27514629455662654"
1900-01-01 15:32:10.926,COM12,,"-1,021","-0,027","0,119","-0,793","40,283","-0,793","-8,448","79,948","-68,505","94,419","73,138","111,215","20,06",96600,"402,67",,,,,,,,,,,,,,"0,1","-0,9289999999999998","-14,8579767109156","8,097122325429044","-0,5262872773615845"
1900-01-01 15:32:11.026,COM12,,"-1,008","-0,029","0,047","-0,244","22,217","-0,305","-12,975","83,145","-72,999","93,548","72,774","113,178","20,04",96599,"402,76",,,,,,,,,,,,,,"0,1","-0,9899999999999999","-14,769939844727936","8,147922074739773","-0,6799279781277414"
1900-01-01 15:32:11.126,COM12,,"-0,995","-0,027","0,047","0,427","13,428","-0,183","-17,562","84,771","-77,426","93,015","72,553","114,270","20,07",96599,"402,76",,,,,,,,,,,,,,"0,1","-0,975","-14,67762854426458","8,181183586567725","-0,3913095546555632"
1900-01-01 15:32:11.226,COM12,,"-1,029","-0,028","0,033","-0,122","18,188","-0,488","-24,307","86,072","-83,947","92,625","72,397","115,024","20,11",96600,"402,67",,,,,,,,,,,,,,"0,1","-1,024","-15,050558354665652","8,169158140034643","-0,28871095942222974"
1900-01-01 15:32:11.326,COM12,,"-0,99","-0,028","-0,029","-0,366","10,071","0,122","-42,297","87,528","-101,662","92,157","72,163","115,856","20,07",96600,"402,67",,,,,,,,,,,,,,"0,1","-1,047","-14,71211834727056","8,159534208135847","-0,5974551272878791"
