Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Delta_t,Sum Acceleration (g),Corrected_Acc_X(m/s²),Corrected_Acc_Y(m/s²),Corrected_Acc_Z(m/s²),Position X(m),Position Y(m),Position Z(m)
1900-01-01 09:06:24.401,COM12,2024-09-20 13:51:29.204,"-0,013","-0,002","0,999","-0,061","0,0","0,0","-0,478","0,527","163,614","97,383","44,252","47,645","19,51",96531,"408,55",,,,,,,,,,,,,,,"0,984","-0,017880075804770537","0,033442925173803595","-0,009053661980061634",,,
1900-01-01 09:06:24.491,COM12,2024-09-20 13:51:29.304,"-0,014","-0,006","0,999","0,0","0,0","0,0","-0,483","0,533","163,614","97,435","44,551","47,788","19,47",96530,"408,64",,,,,,,,,,,,,,"0,09","0,979","-0,02646314265264517","-0,005265558795729007","-0,009036980673695183","-0,00021435145548642586","-4,2651026245404954e-05","-7,319954345693098e-05"
1900-01-01 09:06:24.600,COM12,2024-09-20 13:51:29.404,"-0,014","-0,005","1,0","0,0","0,0","0,0","-0,483","0,533","163,614","97,487","44,707","47,866","19,51",96530,"408,64",,,,,,,,,,,,,,"0,109","0,981","-0,02646314265264517","0,004544441204270992","0,0007730193263046914","-0,0007883634827649522","-4,0313652083562845e-05","-0,00015266808125005465"
1900-01-01 09:06:24.694,COM12,2024-09-20 13:51:29.504,"-0,014","-0,006","0,999","0,0","0,0","0,0","-0,489","0,533","163,614","97,487","44,733","47,879","19,52",96530,"408,64",,,,,,,,,,,,,,"0,094","0,979","-0,02617342205455081","-0,0042799965298746315","-0,009028267281502522","-0,0015146513864993435","-7,611598425444189e-05","-0,0003009743514315543"
1900-01-01 09:06:24.801,COM12,2024-09-20 13:51:29.604,"-0,013","-0,005","0,999","0,0","-0,061","0,0","-0,489","0,538","163,614","97,487","44,733","47,892","19,47",96530,"408,64",,,,,,,,,,,,,,"0,107","0,981","-0,015542175458490362","0,005288515487586416","-0,009020266524469633","-0,0025193257288510453","-5,63214889720018e-05","-0,0005730640946725524"
1900-01-01 09:06:24.894,COM12,2024-09-20 13:51:29.704,"-0,013","-0,007","0,999","0,0","0,0","0,0","-0,494","0,538","163,614","97,487","44,733","47,905","19,49",96530,"408,64",,,,,,,,,,,,,,"0,093","0,979","-0,015300743172648151","-0,013510182900176866","-0,009012923198678635","-0,003524883481212104","-0,00015596649955537984","-0,0008875060835058944"
1900-01-01 09:06:25.003,COM12,2024-09-20 13:51:29.804,"-0,013","-0,006","1,0","0,0","0,0","0,0","-0,494","0,533","163,614","97,500","44,746","47,905","19,47",96530,"408,64",,,,,,,,,,,,,,"0,109","0,981","-0,01612198915391075","-0,003458695098419548","0,000789076050280002","-0,004894985769912679","-0,00031384749423032834","-0,001246670606251811"
1900-01-01 09:06:25.096,COM12,2024-09-20 13:51:29.904,"-0,014","-0,006","0,999","0,0","-0,061","0,0","-0,494","0,533","163,614","97,513","44,733","47,931","19,49",96530,"408,64",,,,,,,,,,,,,,"0,093","0,979","-0,02593198915391076","-0,003458695098419548","-0,009020923949719872","-0,006288257900519105","-0,00047846755093261604","-0,0016311357024045917"
1900-01-01 09:06:25.190,COM12,2024-09-20 13:51:30.004,"-0,01","-0,004","0,999","-0,061","0,0","0,0","-0,5","0,538","163,614","97,513","44,733","47,957","19,47",96530,"408,64",,,,,,,,,,,,,,"0,094","0,985","0,014418974442030136","0,01690537847946963","-0,00900401260194883","-0,007569105393714961","-0,0004954817915268938","-0,0020992942872001576"
1900-01-01 09:06:25.299,COM12,2024-09-20 13:51:30.104,"-0,013","-0,01","1,0","-0,122","0,061","0,732","-0,494","0,549","163,663","97,721","45,084","48,386","19,44",96530,"408,64",,,,,,,,,,,,,,"0,109","0,977","-0,013540765038510524","-0,043373950478201466","0,0008149414022859958","-0,009215221273758232","-0,001030536976145387","-0,0026324767103433925"
1900-01-01 09:06:25.392,COM12,2024-09-20 13:51:30.204,"-0,015","-0,008","0,999","0,0","-0,061","0,0","-0,5","0,549","163,685","97,916","45,487","48,776","19,51",96530,"408,64",,,,,,,,,,,,,,"0,093","0,976","-0,0328932922764415","-0,022724265672590678","-0,00898614801721287","-0,010904199549886754","-0,0016835941239799162","-0,003165115017868311"
1900-01-01 09:06:25.501,COM12,2024-09-20 13:51:30.304,"-0,013","-0,006","0,999","0,0","0,0","0,0","-0,505","0,544","163,685","97,968","45,539","48,880","19,47",96530,"408,64",,,,,,,,,,,,,,"0,109","0,98","-0,013854422918234785","-0,0020421969383775454","-0,008986805442461332","-0,01304835913242786","-0,002473268531546325","-0,0038961622589239156"
1900-01-01 09:06:25.594,COM12,2024-09-20 13:51:30.404,"-0,014","-0,005","0,999","0,061","-0,122","0,0","-0,5","0,533","163,685","97,994","45,461","48,945","19,46",96530,"408,64",,,,,,,,,,,,,,"0,093","0,98","-0,025712230224728988","0,007475236746329814","-0,009012013345722991","-0,015100164772892208","-0,003082374107126181","-0,004597844716646223"
1900-01-01 09:06:25.702,COM12,2024-09-20 13:51:30.504,"-0,013","-0,005","0,999","-0,061","-0,183","0,0","-0,505","0,527","163,685","98,020","45,409","48,984","19,49",96530,"408,64",,,,,,,,,,,,,,"0,108","0,981","-0,01664766986822369","0,00858539949293377","-0,009014007950382208","-0,0176770852283228","-0,0036895824177914016","-0,005517841153056998"
1900-01-01 09:06:25.796,COM12,2024-09-20 13:51:30.604,"-0,013","-0,005","0,999","-0,061","0,0","0,0","-0,505","0,533","163,685","98,033","45,383","49,023","19,51",96530,"408,64",,,,,,,,,,,,,,"0,094","0,981","-0,01566181712039126","0,008296835788092191","-0,009004505670906937","-0,020058348255606685","-0,004144767699013474","-0,0063981426042634005"
1900-01-01 09:06:25.888,COM12,2024-09-20 13:51:30.704,"-0,014","-0,005","0,999","-0,122","-0,061","0,0","-0,511","0,533","163,685","98,033","45,370","49,023","19,46",96530,"408,64",,,,,,,,,,,,,,"0,092","0,98","-0,025183322519888057","0,009282754061184555","-0,008995397855434462","-0,02260209775390563","-0,00451169895664419","-0,007335851284807425"
1900-01-01 09:06:25.997,COM12,2024-09-20 13:51:30.804,"-0,013","-0,006","0,999","0,0","-0,061","0,0","-0,511","0,533","163,685","98,020","45,383","49,023","19,46",96530,"408,64",,,,,,,,,,,,,,"0,109","0,98","-0,015373322519888044","-0,0005272459388154446","-0,008995397855434462","-0,0257985383652273","-0,004952696938270952","-0,008553706543459348"
1900-01-01 09:06:26.089,COM12,2024-09-20 13:51:30.904,"-0,013","-0,005","0,999","-0,061","0,0","0,0","-0,511","0,533","163,685","98,020","45,383","49,023","19,46",96530,"408,64",,,,,,,,,,,,,,"0,092","0,981","-0,015373322519888044","0,009282754061184555","-0,008995397855434462","-0,028626571343564014","-0,005246346187802242","-0,009657758121146066"
1900-01-01 09:06:26.197,COM12,2024-09-20 13:51:31.004,"-0,013","-0,006","1,0","0,0","-0,122","0,0","-0,516","0,527","163,685","98,007","45,396","49,010","19,46",96530,"408,64",,,,,,,,,,,,,,"0,108","0,981","-0,016118762353611996","0,0005829153451193461","0,00081277189891793","-0,032134445388312685","-0,005584265747449155","-0,010944338497436278"
