Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Delta_t,Position X,Position Y,Position Z
1900-01-01 05:11:18.625,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,851","1,044","0,665","69,758","45,968","98,332","18,35",96787,"386,73",,,,,,,,,,,,,,,"-1,857680578395348e-05","1,4688123943718186e-05","7,621952205258578e-06"
1900-01-01 05:11:18.720,COM12,,"-0,021","0,016","1,008","0,0","0,0","0,0","0,846","1,044","0,665","69,758","45,968","98,345","18,34",96787,"386,73",,,,,,,,,,,,,,"0,095","-5,57204399485535e-05","4,318226016924439e-05","2,2851522485064933e-05"
1900-01-01 05:11:18.820,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,846","1,049","0,665","69,732","45,955","98,332","18,35",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,0001114402459171358","8,636516344918111e-05","4,570335076825842e-05"
1900-01-01 05:11:18.919,COM12,,"-0,021","0,016","1,008","0,0","0,0","0,0","0,84","1,049","0,665","69,745","45,955","98,332","18,37",96787,"386,73",,,,,,,,,,,,,,"0,099","-0,00018572625206587446","0,0001433548476947584","7,616293524149824e-05"
1900-01-01 05:11:19.019,COM12,,"-0,022","0,017","1,009","0,0","0,0","0,0","0,84","1,049","0,665","69,745","45,955","98,332","18,35",96788,"386,65",,,,,,,,,,,,,,"0,1","-0,00027945484893994514","0,00021501106085884854","0,0001151420380995799"
1900-01-01 05:11:19.119,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,835","1,055","0,665","69,745","45,955","98,332","18,39",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,0003926415791531024","0,00030134720243956233","0,00016175872145223792"
1900-01-01 05:11:19.219,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,835","1,055","0,665","69,745","45,942","98,332","18,39",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,0005244037518300623","0,0004023735177952166","0,00021599672918298202"
1900-01-01 05:11:19.319,COM12,,"-0,022","0,016","1,008","0,0","0,0","0,0","0,829","1,055","0,665","69,745","45,955","98,332","18,37",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,0006756140845909617","0,0005171977727291133","0,0002778579849343953"
1900-01-01 05:11:19.419,COM12,,"-0,021","0,016","1,008","0,0","0,0","0,0","0,829","1,06","0,665","69,758","45,955","98,332","18,39",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,0008453892226998824","0,0006458302203049736","0,00034732783860937506"
1900-01-01 05:11:19.520,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,829","1,06","0,665","69,745","45,955","98,332","18,39",96787,"386,73",,,,,,,,,,,,,,"0,101","-0,0010337391758830441","0,0007891536113908991","0,00042441906206162097"
1900-01-01 05:11:19.619,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,824","1,06","0,665","69,745","45,955","98,332","18,35",96787,"386,73",,,,,,,,,,,,,,"0,099","-0,0012415466650283066","0,0009471583355328789","0,0005091466878834886"
1900-01-01 05:11:19.719,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,06","0,665","69,758","45,968","98,332","18,37",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,0014679290006822652","0,0011198546380727262","0,0006014943829240508"
1900-01-01 05:11:19.820,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,06","0,665","69,758","45,955","98,332","18,35",96787,"386,73",,,,,,,,,,,,,,"0,101","-0,0017128861828449198","0,0013072425190104409","0,0007014621471833076"
1900-01-01 05:11:19.919,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,818","1,066","0,665","69,758","45,955","98,332","18,37",96787,"386,73",,,,,,,,,,,,,,"0,099","-0,0019764174513817265","0,001509322749322215","0,0008090503470453446"
1900-01-01 05:11:20.019,COM12,,"-0,021","0,016","1,008","0,0","0,0","0,0","0,818","1,066","0,665","69,745","45,942","98,332","18,35",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,0022585127947226157","0,0017252125757250142","0,0009242463801390692"
1900-01-01 05:11:20.119,COM12,,"-0,021","0,017","1,007","0,0","0,0","0,0","0,818","1,066","0,665","69,745","45,955","98,345","18,39",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,0025591987935402612","0,00195580716458656","0,001046180191603027"
1900-01-01 05:11:20.219,COM12,,"-0,021","0,017","1,007","0,0","0,0","0,0","0,818","1,066","0,665","69,758","45,942","98,345","18,35",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,0028784754478346627","0,002201106515906853","0,0011748517814372179"
1900-01-01 05:11:20.319,COM12,,"-0,022","0,016","1,006","0,0","0,0","0,0","0,818","1,066","0,665","69,745","45,955","98,345","18,39",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,003217232002876632","0,00246023004416564","0,0013093823156300893"
1900-01-01 05:11:20.419,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,818","1,066","0,665","69,758","45,942","98,358","18,39",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,00357544533203103","0,002734035676476581","0,0014515497110178283"
1900-01-01 05:11:20.519,COM12,,"-0,021","0,016","1,007","0,0","0,0","0,0","0,813","1,071","0,665","69,758","45,929","98,371","18,37",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,0039522387475364506","0,0030216638812960495","0,0016004426649916656"
1900-01-01 05:11:20.619,COM12,,"-0,019","0,017","1,009","0,0","0,0","0,0","0,813","1,071","0,665","69,758","45,903","98,371","18,39",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,004345823598212494","0,0033239932332983077","0,0017578060114080475"
1900-01-01 05:11:20.719,COM12,,"-0,021","0,017","1,01","0,0","0,0","0,0","0,813","1,071","0,665","69,758","45,903","98,384","18,39",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,004757948611412291","0,003640990906716993","0,0019245554124118032"
1900-01-01 05:11:20.820,COM12,,"-0,022","0,017","1,009","0,0","0,0","0,0","0,813","1,071","0,665","69,745","45,929","98,358","18,39",96787,"386,73",,,,,,,,,,,,,,"0,101","-0,005189513118687538","0,003972658991402777","0,002099824713736852"
1900-01-01 05:11:20.920,COM12,,"-0,023","0,044","1,008","0,0","0,0","0,0","0,818","1,071","0,665","69,524","46,709","97,773","18,37",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,005641686702606682","0,004342833281557732","0,0022830893252586346"
1900-01-01 05:11:21.020,COM12,,"-0,023","0,059","1,007","0,244","0,0","0,0","0,873","1,077","0,665","67,067","54,938","91,897","18,35",96787,"386,73",,,,,,,,,,,,,,"0,1","-0,006114634386180931","0,0047647608391384825","0,0024737076410485965"
