Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Delta_t,Velocity X(m/s),Velocity Y(m/s),Velocity Z(m/s),Position X(m),Position Y(m),Position Z(m)
1900-01-01 09:51:45.800,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,829","1,066","-3,329","83,161","42,588","76,427","20,28",96759,"389,12",,,,,,,,,,,,,,,"0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:45.900,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,829","1,066","-3,329","83,174","42,588","76,427","20,28",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.000,COM12,,"-0,021","0,018","1,008","0,0","0,0","0,0","0,829","1,066","-3,329","83,161","42,588","76,427","20,28",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.099,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,829","1,066","-3,329","83,161","42,588","76,427","20,29",96759,"389,12",,,,,,,,,,,,,,"0,099","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.199,COM12,,"-0,021","0,017","1,009","0,0","0,0","0,0","0,829","1,066","-3,329","83,174","42,588","76,427","20,29",96760,"389,04",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.299,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,427","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.399,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,414","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.499,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,588","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.599,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,588","76,427","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.699,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,427","20,28",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.799,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,427","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","0,0","0,0","0,0","0,0","0,0","0,0"
1900-01-01 09:51:46.899,COM12,,"-0,021","0,018","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,427","20,26",96759,"389,12",,,,,,,,,,,,,,"0,1","1,2500000000000012e-05","9,359955742323113e-05","-0,8802000010150156","1,2500000000000014e-06","9,359955742323114e-06","-0,08802000010150157"
1900-01-01 09:51:46.998,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,588","76,427","20,34",96759,"389,12",,,,,,,,,,,,,,"0,099","-7,412499999999973e-05","8,726311927812027e-05","-1,7515980009399588","-6,088374999999972e-06","1,799900455085702e-05","-0,26142820219455754"
1900-01-01 09:51:47.098,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,26",96759,"389,12",,,,,,,,,,,,,,"0,1","-6,162499999999972e-05","8,086267670730121e-05","-2,6317980008641437","-1,2250874999999946e-05","2,6085272221587142e-05","-0,5246080022809719"
1900-01-01 09:51:47.198,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00014912499999999946","7,446223413648215e-05","-3,5119980007883287","-2,7163374999999895e-05","3,3531495635235356e-05","-0,8758078023598048"
1900-01-01 09:51:47.298,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,26",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00013662499999999946","6,80617915656631e-05","-4,392198000712513","-4,082587499999984e-05","4,033767479180166e-05","-1,315027602431056"
1900-01-01 09:51:47.398,COM12,,"-0,021","0,017","1,009","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00012412499999999945","6,166243982562651e-05","-5,272298000636704","-5,323837499999978e-05","4,650391877436431e-05","-1,8422574024947265"
1900-01-01 09:51:47.498,COM12,,"-0,021","0,016","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,427","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00011162499999999945","-4,473800273924308e-05","-6,152497999470058","-6,440087499999972e-05","4,2030118500440006e-05","-2,4575072024417324"
1900-01-01 09:51:47.598,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,28",96759,"389,12",,,,,,,,,,,,,,"0,1","-9,912499999999944e-05","-5,113844531006214e-05","-7,032697999394243","-7,431337499999967e-05","3,691627396943379e-05","-3,1607770023811566"
1900-01-01 09:51:47.698,COM12,,"-0,021","0,018","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,588","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-8,662499999999944e-05","4,2461112113168994e-05","-7,912898000409259","-8,297587499999962e-05","4,1162385180750695e-05","-3,9520668024220824"
1900-01-01 09:51:47.798,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00017412499999999918","3,606066954234994e-05","-8,793098000333444","-0,00010038837499999953","4,476845213498569e-05","-4,8313766024554265"
1900-01-01 09:51:47.898,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,34",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00016162499999999917","2,9660226971530885e-05","-9,67329800025763","-0,00011655087499999945","4,773447483213878e-05","-5,79870640248119"
1900-01-01 09:51:47.998,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00014912499999999917","2,3259784400711833e-05","-10,553498000181815","-0,00013146337499999935","5,006045327220996e-05","-6,854056202499372"
1900-01-01 09:51:48.098,COM12,,"-0,021","0,017","1,009","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00013662499999999916","1,6860432660675256e-05","-11,433598000106006","-0,00014512587499999926","5,1746496538277484e-05","-7,997416002509972"
1900-01-01 09:51:48.198,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,427","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00012412499999999915","1,0459990089856204e-05","-12,313798000030191","-0,0001575383749999992","5,27924955472631e-05","-9,228795802512991"
1900-01-01 09:51:48.298,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,588","76,427","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00011162499999999915","4,05954751903715e-06","-13,193997999954377","-0,0001687008749999991","5,319845029916682e-05","-10,548195602508429"
1900-01-01 09:51:48.398,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,33",96759,"389,12",,,,,,,,,,,,,,"0,1","-9,912499999999914e-05","-2,3408950517819036e-06","-14,074197999878562","-0,00017861337499999904","5,296436079398863e-05","-11,955615402496285"
1900-01-01 09:51:48.498,COM12,,"-0,022","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00018662499999999888","-8,741337622600956e-06","-14,954397999802747","-0,00019727587499999893","5,209022703172853e-05","-13,45105520247656"
1900-01-01 09:51:48.598,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,588","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00017412499999999888","-1,514178019342001e-05","-15,834597999726933","-0,00021468837499999882","5,057604901238653e-05","-15,034515002449254"
1900-01-01 09:51:48.699,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,31",96759,"389,12",,,,,,,,,,,,,,"0,101","-0,00016149999999999886","-2,1606227189947254e-05","-16,72359999965036","-0,0002309998749999987","4,839382006620186e-05","-16,72359860241394"
1900-01-01 09:51:48.799,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,33",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00014899999999999885","-2,8006669760766307e-05","-17,603799999574544","-0,00024589987499999856","4,559315309012523e-05","-18,483978602371394"
1900-01-01 09:51:48.899,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,588","76,440","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-0,00013649999999999885","-3,440711233158536e-05","-18,483999999498728","-0,00025954987499999843","4,215244185696669e-05","-20,332378602321267"
1900-01-01 09:51:49.000,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,28",96759,"389,12",,,,,,,,,,,,,,"0,101","-0,00012387499999999882","-4,087155932811261e-05","-19,373001999422154","-0,00027206124999999833","3,8024414364827315e-05","-22,289051804262904"
1900-01-01 09:51:49.098,COM12,,"-0,021","0,018","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,34",96759,"389,12",,,,,,,,,,,,,,"0,098","-0,00011162499999999881","5,08560069466539e-05","-20,23559800041687","-0,0002830004999999982","4,3008303045599396e-05","-24,27214040830376"
1900-01-01 09:51:49.198,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,33",96759,"389,12",,,,,,,,,,,,,,"0,1","-9,912499999999879e-05","4,4455564375834844e-05","-21,115798000341055","-0,0002929129999999981","4,745385948318288e-05","-26,383720208337863"
1900-01-01 09:51:49.298,COM12,,"-0,021","0,017","1,009","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,427","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-8,662499999999879e-05","3,805621263579827e-05","-21,995898000265246","-0,000301575499999998","5,125948074676271e-05","-28,583310008364386"
1900-01-01 09:51:49.398,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,34",96759,"389,12",,,,,,,,,,,,,,"0,1","-7,412499999999878e-05","3,165577006497921e-05","-22,87609800018943","-0,0003089879999999979","5,442505775326063e-05","-30,870919808383327"
1900-01-01 09:51:49.498,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,174","42,575","76,440","20,29",96759,"389,12",,,,,,,,,,,,,,"0,1","-6,162499999999877e-05","2,525532749416016e-05","-23,756298000113613","-0,0003151504999999978","5,6950590502676645e-05","-33,24654960839469"
1900-01-01 09:51:49.598,COM12,,"-0,021","0,017","1,008","0,0","0,0","0,0","0,824","1,066","-3,329","83,161","42,575","76,440","20,31",96759,"389,12",,,,,,,,,,,,,,"0,1","-4,912499999999876e-05","1,8854884923341106e-05","-24,636498000037797","-0,00032006299999999766","5,883607899501076e-05","-35,710199408398466"
